arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
hablar en favor de	<font color=red>CHP:</font> tumalz\n<font color=blue>AYM:</font> aru tukusiña\n<font color=orange>ENG:</font> to speak in favor of
poco	<font color=red>CHP:</font> tumpa\n<font color=blue>AYM:</font> juk'a\n<font color=orange>ENG:</font> a little
poquito	<font color=red>CHP:</font> tumpalla\n<font color=blue>AYM:</font> juk'alla\n<font color=orange>ENG:</font> very little
pedir que se devuelva lo prestado	<font color=red>CHP:</font> tumpi\n<font color=blue>AYM:</font> mayiña\n<font color=orange>ENG:</font> to ask to return what has been lent
visitar, echar de menos	<font color=red>CHP:</font> tumtiz\n<font color=blue>AYM:</font> tumpaña\n<font color=orange>ENG:</font> to visit, to miss
este	<font color=red>CHP:</font> tuna\n<font color=blue>AYM:</font> layrxa\n<font color=orange>ENG:</font> east
sudeste	<font color=red>CHP:</font> tuna waru quecheechi\n<font color=blue>AYM:</font> layrxa aynacha\n<font color=orange>ENG:</font> southeast
conjunto de chacras	<font color=red>CHP:</font> tunari\n<font color=blue>AYM:</font> juyra yapu\n<font color=orange>ENG:</font> various fields together
diez	<font color=red>CHP:</font> tunca\n<font color=blue>AYM:</font> tunka\n<font color=orange>ENG:</font> ten
araña grande de diez patas	<font color=red>CHP:</font> tuncacayu\n<font color=blue>AYM:</font> tunkakayu\n<font color=orange>ENG:</font> big spider with 10 legs
once	<font color=red>CHP:</font> tuncamani\n<font color=blue>AYM:</font> tunka mäni\n<font color=orange>ENG:</font> eleven
doce	<font color=red>CHP:</font> tuncapaani\n<font color=blue>AYM:</font> tunka päni\n<font color=orange>ENG:</font> twelve
diecisiete	<font color=red>CHP:</font> tuncapakalcuni\n<font color=blue>AYM:</font> tunka paqalquni\n<font color=orange>ENG:</font> seventeen
quince	<font color=red>CHP:</font> tuncapjiskani\n<font color=blue>AYM:</font> tunka phisqhani\n<font color=orange>ENG:</font> fifteen
catorce	<font color=red>CHP:</font> tuncapusini\n<font color=blue>AYM:</font> tunka pusini\n<font color=orange>ENG:</font> fourteen
dieciocho	<font color=red>CHP:</font> tuncaquinsakalkuni\n<font color=blue>AYM:</font> tunka kinsaqallquni\n<font color=orange>ENG:</font> eighteen
trece	<font color=red>CHP:</font> tuncaquinsani\n<font color=blue>AYM:</font> tunka kinsani\n<font color=orange>ENG:</font> thirteen
dieciseis	<font color=red>CHP:</font> tuncasojjtani\n<font color=blue>AYM:</font> tunka suxtuni\n<font color=orange>ENG:</font> sixteen
diez mil	<font color=red>CHP:</font> tuncawaranka\n<font color=blue>AYM:</font> tunka waranqa\n<font color=orange>ENG:</font> ten thousand
grande, largo, alto	<font color=red>CHP:</font> tuñata = nucta = pakji\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> large, big, tall
palo, estaca de madera	<font color=red>CHP:</font> tuñi\n<font color=blue>AYM:</font> lawa\n<font color=orange>ENG:</font> pole, stick, wooden stake
tupido	<font color=red>CHP:</font> tupiru\n<font color=blue>AYM:</font> qala, q'ara\n<font color=orange>ENG:</font> thick, dense
legua, medida	<font color=red>CHP:</font> tupu\n<font color=blue>AYM:</font> tupu\n<font color=orange>ENG:</font> league, measure
medir, medirse	<font color=red>CHP:</font> tupz\n<font color=blue>AYM:</font> tupuña\n<font color=orange>ENG:</font> to measure
chocar fuerte	<font color=red>CHP:</font> tupz\n<font color=blue>AYM:</font> axmanti jaqhtaptaña\n<font color=orange>ENG:</font> to hit hard, to crash
topear	<font color=red>CHP:</font> tupz\n<font color=blue>AYM:</font> waxrtapiña\n<font color=orange>ENG:</font> to butt
medir (tamaño, habilidades)	<font color=red>CHP:</font> tupza\n<font color=blue>AYM:</font> ch'amtaña, atipt'asiña\n<font color=orange>ENG:</font> to measure (size, skill)
delante de, antes	<font color=red>CHP:</font> tuqui\n<font color=blue>AYM:</font> qhipa, layrja\n<font color=orange>ENG:</font> in front of, before
primer canto de gallo	<font color=red>CHP:</font> tuqui wallpa kjawñi\n<font color=blue>AYM:</font> wallpa aru, qhantati\n<font color=orange>ENG:</font> first rooster crow
de antes, antiguo	<font color=red>CHP:</font> tuquita\n<font color=blue>AYM:</font> layra timputa, jayata\n<font color=orange>ENG:</font> from before, ancient
gente antigua	<font color=red>CHP:</font> tuquita z̈oñi\n<font color=blue>AYM:</font> layra jaqi\n<font color=orange>ENG:</font> ancient people
de antemano	<font color=red>CHP:</font> tuquitan\n<font color=blue>AYM:</font> layjallata\n<font color=orange>ENG:</font> in advance
señorita	<font color=red>CHP:</font> tur\n<font color=blue>AYM:</font> tawaqu\n<font color=orange>ENG:</font> young lady
señorita/señora que se viste bien	<font color=red>CHP:</font> tura\n<font color=blue>AYM:</font> qhalincha, raxchi tawayu\n<font color=orange>ENG:</font> well-dressed young lady/woman
cambiar, trocar	<font color=red>CHP:</font> turcáz\n<font color=blue>AYM:</font> turkaña, chhalaña\n<font color=orange>ENG:</font> to change, to barter
torre	<font color=red>CHP:</font> turi = campanturi\n<font color=blue>AYM:</font> turi\n<font color=orange>ENG:</font> tower
intentar sin lograr	<font color=red>CHP:</font> turiiz\n<font color=blue>AYM:</font> thuriña\n<font color=orange>ENG:</font> to try hard but fail
uno que pide precio muy caro	<font color=red>CHP:</font> turijiru = cariru\n<font color=blue>AYM:</font> kariru\n<font color=orange>ENG:</font> one who always asks a very high price for things he sells
molestar	<font color=red>CHP:</font> turiyaz\n<font color=blue>AYM:</font> turyaña\n<font color=orange>ENG:</font> to molest, to tease
buñuelo	<font color=red>CHP:</font> turtilla\n<font color=blue>AYM:</font> supaypillu\n<font color=orange>ENG:</font> fried dough bread
carnero, toro	<font color=red>CHP:</font> turu\n<font color=blue>AYM:</font> turu\n<font color=orange>ENG:</font> ram, bull
tropa	<font color=red>CHP:</font> turupa\n<font color=blue>AYM:</font> tama\n<font color=orange>ENG:</font> herd
equivocarse	<font color=red>CHP:</font> turwayz\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to be mistaken, to make a mistake
dudar	<font color=red>CHP:</font> turwiz\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to doubt
hablar inclaramente	<font color=red>CHP:</font> turwiz\n<font color=blue>AYM:</font> khakha\n<font color=orange>ENG:</font> to speak unclearly
equivocarse	<font color=red>CHP:</font> turwiz\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to be mistaken
bromear	<font color=red>CHP:</font> turyaz\n<font color=blue>AYM:</font> turyaña\n<font color=orange>ENG:</font> to joke
afeitarse, igualar el pelo de la nuca	<font color=red>CHP:</font> tusurz\n<font color=blue>AYM:</font> khuskhachaña\n<font color=orange>ENG:</font> to shave, to make equal the hair at the back of the neck
solterón	<font color=red>CHP:</font> tutira\n<font color=blue>AYM:</font> tutir chacha\n<font color=orange>ENG:</font> old bachelor
solterona	<font color=red>CHP:</font> tutiri = tutirtur\n<font color=blue>AYM:</font> tutir warmi\n<font color=orange>ENG:</font> old spinster
bisnieto	<font color=red>CHP:</font> tutu\n<font color=blue>AYM:</font> allchhi\n<font color=orange>ENG:</font> great-grandchild
al este	<font color=red>CHP:</font> tuwanchuc\n<font color=blue>AYM:</font> layxaru\n<font color=orange>ENG:</font> in the east, toward the east
parte este de la comunidad	<font color=red>CHP:</font> tuwanta\n<font color=blue>AYM:</font> layxa\n<font color=orange>ENG:</font> eastern part of the community
hacer algo de antemano	<font color=red>CHP:</font> tuwanz\n<font color=blue>AYM:</font> janir kunajipan luraña\n<font color=orange>ENG:</font> to do something beforehand
el que anuncia la llegada (personas + animales)	<font color=red>CHP:</font> tuwañi\n<font color=blue>AYM:</font> paqallt'iri\n<font color=orange>ENG:</font> one who announces the arrival (persons + animals)
tocar dos campanas	<font color=red>CHP:</font> tuwlantiz\n<font color=blue>AYM:</font> kalink jawq'taña\n<font color=orange>ENG:</font> to ring two bells
repetir el trabajo	<font color=red>CHP:</font> tuwlantiz\n<font color=blue>AYM:</font> mayant luraña\n<font color=orange>ENG:</font> to do over
duende	<font color=red>CHP:</font> tuyinti\n<font color=blue>AYM:</font> tuwinti\n<font color=orange>ENG:</font> goblin
dueño	<font color=red>CHP:</font> tuyñu\n<font color=blue>AYM:</font> tuyñü\n<font color=orange>ENG:</font> owner
flotar, nadar	<font color=red>CHP:</font> tuytunquiz = tuyunquiz\n<font color=blue>AYM:</font> tuyuña\n<font color=orange>ENG:</font> to float, to swim
remar, nadar	<font color=red>CHP:</font> tuytuntiz = tuyuntiz\n<font color=blue>AYM:</font> tuyuña\n<font color=orange>ENG:</font> to row, to swim
vender	<font color=red>CHP:</font> tuyz\n<font color=blue>AYM:</font> alxaña\n<font color=orange>ENG:</font> to sell
corazón	<font color=red>CHP:</font> tuzi\n<font color=blue>AYM:</font> chuyma\n<font color=orange>ENG:</font> heart
inclinarse	<font color=red>CHP:</font> tuzi t'okz\n<font color=blue>AYM:</font> uraqir allt'aña, k'umt'aña\n<font color=orange>ENG:</font> to bow
así	<font color=red>CHP:</font> tuz̈\n<font color=blue>AYM:</font> ukhama\n<font color=orange>ENG:</font> this way, like that
llamarse	<font color=red>CHP:</font> tuz̈ cjititc̈ha\n<font color=blue>AYM:</font> sutichasiña\n<font color=orange>ENG:</font> to be called
por aquí	<font color=red>CHP:</font> tuz̈quin\n<font color=blue>AYM:</font> akana\n<font color=orange>ENG:</font> around here, this way
así es	<font color=red>CHP:</font> tuz̈u\n<font color=blue>AYM:</font> ukhama\n<font color=orange>ENG:</font> that's the way it is
recordar un lugar	<font color=red>CHP:</font> tyjucz\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to remember a place
zurcir con hilo grueso	<font color=red>CHP:</font> t'aaz\n<font color=blue>AYM:</font> wataña\n<font color=orange>ENG:</font> to darn with thick yarn
hacer lavatorio, lavar ropa y cama de un muerto	<font color=red>CHP:</font> t'ajanz = t'ajjanz\n<font color=blue>AYM:</font> lawaturyu, amay isi t'axsaraña\n<font color=orange>ENG:</font> to wash clothes and bed of a dead person
mezcla	<font color=red>CHP:</font> t'aji = t'ajji\n<font color=blue>AYM:</font> chhaxruta\n<font color=orange>ENG:</font> mix
hacer lavatorio, lavar ropa y cama de un muerto	<font color=red>CHP:</font> t'ajjanz = t'ajanz\n<font color=blue>AYM:</font> lawaturyu, amay isi t'axsaraña\n<font color=orange>ENG:</font> to wash clothes and bed of a dead person
mezcla	<font color=red>CHP:</font> t'ajji = t'aji\n<font color=blue>AYM:</font> chhaxruta\n<font color=orange>ENG:</font> mix
medida de cuatro dedos	<font color=red>CHP:</font> t'ajjlli = t'ajlli\n<font color=blue>AYM:</font> t'axlli\n<font color=orange>ENG:</font> four fingers wide
mezclar	<font color=red>CHP:</font> t'ajjs\n<font color=blue>AYM:</font> chhaxruña\n<font color=orange>ENG:</font> to mix
doler	<font color=red>CHP:</font> t'ajjz\n<font color=blue>AYM:</font> usuña, t'ajaña\n<font color=orange>ENG:</font> to ache
rociar, lavar	<font color=red>CHP:</font> t'ajjziz = t'ajziz\n<font color=blue>AYM:</font> t'axstiña\n<font color=orange>ENG:</font> to sprinkle, to wash
medida de cuatro dedos	<font color=red>CHP:</font> t'ajlli = t'ajjlli\n<font color=blue>AYM:</font> t'axlli\n<font color=orange>ENG:</font> four fingers wide
dolor	<font color=red>CHP:</font> t'ajñi\n<font color=blue>AYM:</font> t'ajaña, usuña\n<font color=orange>ENG:</font> pain
acostar a niños	<font color=red>CHP:</font> t'ajpz = t'apunz\n<font color=blue>AYM:</font> waw ikiyaña\n<font color=orange>ENG:</font> to put children to bed
doler mucho (de gripe o accidente)	<font color=red>CHP:</font> t'ajs\n<font color=blue>AYM:</font> axmat'axi\n<font color=orange>ENG:</font> to ache a lot (cold or accident)
rociar, lavar	<font color=red>CHP:</font> t'ajziz = t'ajjziz\n<font color=blue>AYM:</font> t'axstiña\n<font color=orange>ENG:</font> to sprinkle, to wash
mezclado	<font color=red>CHP:</font> t'ajzta\n<font color=blue>AYM:</font> chhaxruta, ch'alita\n<font color=orange>ENG:</font> mixed
disperso en grupos	<font color=red>CHP:</font> t'aka t'aka\n<font color=blue>AYM:</font> t'aqa t'aqa\n<font color=orange>ENG:</font> dispersed in groups
sufridor	<font color=red>CHP:</font> t'akjiri\n<font color=blue>AYM:</font> t'aqhiri\n<font color=orange>ENG:</font> suffering
poner brazalete de lana para curar	<font color=red>CHP:</font> t'akjiz\n<font color=blue>AYM:</font> ch'iqa\n<font color=orange>ENG:</font> to put on woolen bracelet to cure
sufrir mucho tiempo	<font color=red>CHP:</font> t'akjiziz\n<font color=blue>AYM:</font> t'aqisiña\n<font color=orange>ENG:</font> to suffer a long time
lana dura, grumos en lana/pelo	<font color=red>CHP:</font> t'akju\n<font color=blue>AYM:</font> t'akhu t'arwa\n<font color=orange>ENG:</font> strong wool, knots in wool/hair
despertar después de estar como muerto	<font color=red>CHP:</font> t'akz\n<font color=blue>AYM:</font> ña jiwaña\n<font color=orange>ENG:</font> to wake up from an apparent death
separar rebaño	<font color=red>CHP:</font> t'akz\n<font color=blue>AYM:</font> t'aqaña, lakiña\n<font color=orange>ENG:</font> to separate a flock
fermentado	<font color=red>CHP:</font> t'amchi\n<font color=blue>AYM:</font> t'amata\n<font color=orange>ENG:</font> fermented
fermentar	<font color=red>CHP:</font> t'amz\n<font color=blue>AYM:</font> t'amaña\n<font color=orange>ENG:</font> to ferment
pan	<font color=red>CHP:</font> t'anta\n<font color=blue>AYM:</font> t'anta\n<font color=orange>ENG:</font> bread
llevar involuntariamente animales de otra tropa	<font color=red>CHP:</font> t'apanz\n<font color=blue>AYM:</font> arkayaña\n<font color=orange>ENG:</font> to involuntarily carry along animals from another herd
acomodar al enfermo	<font color=red>CHP:</font> t'apsinz\n<font color=blue>AYM:</font> sum winkt'aña\n<font color=orange>ENG:</font> to accommodate a sick person
cargarse/hacerse ayudar a cargar un bulto	<font color=red>CHP:</font> t'apsinz\n<font color=blue>AYM:</font> q'ip yanapt'ayasiña\n<font color=orange>ENG:</font> to put/to make someone help you put a bundle on your back
acostar a niños	<font color=red>CHP:</font> t'apunz = t'ajpz\n<font color=blue>AYM:</font> waw ikiyaña\n<font color=orange>ENG:</font> to put children to bed
cargar a bebé con bulto pequeño	<font color=red>CHP:</font> t'apz\n<font color=blue>AYM:</font> jarkjas paltxatasiña\n<font color=orange>ENG:</font> to carry a baby in a bundle
remojar	<font color=red>CHP:</font> t'awanz = t'awunz\n<font color=blue>AYM:</font> chulluchiña\n<font color=orange>ENG:</font> to soak
marchitado	<font color=red>CHP:</font> t'awñi\n<font color=blue>AYM:</font> jiwsuta, mujuchata\n<font color=orange>ENG:</font> wilted
remojar	<font color=red>CHP:</font> t'awunz = t'awanz\n<font color=blue>AYM:</font> chulluchiña\n<font color=orange>ENG:</font> to soak
regar, mojar	<font color=red>CHP:</font> t'awz\n<font color=blue>AYM:</font> chulluchaña\n<font color=orange>ENG:</font> to water, to wet
marchitarse	<font color=red>CHP:</font> t'awz\n<font color=blue>AYM:</font> qasawiña\n<font color=orange>ENG:</font> to wither, to wilt
quitar peso de la carga	<font color=red>CHP:</font> t'ecs\n<font color=blue>AYM:</font> paltaqaña\n<font color=orange>ENG:</font> to lighten weight of burden
perdiz	<font color=red>CHP:</font> t'ejjllu\n<font color=blue>AYM:</font> p'isaqa\n<font color=orange>ENG:</font> partridge
combinación de varios colores en llamas	<font color=red>CHP:</font> t'ejjllu\n<font color=blue>AYM:</font> t'axllu\n<font color=orange>ENG:</font> combination of various colors on llama
represar agua	<font color=red>CHP:</font> t'etinz\n<font color=blue>AYM:</font> piris luraña\n<font color=orange>ENG:</font> to dam water
obligar a tomar	<font color=red>CHP:</font> t'etinz\n<font color=blue>AYM:</font> machayaña, umayaña\n<font color=orange>ENG:</font> to make someone drink a lot
hacer caer	<font color=red>CHP:</font> t'ez\n<font color=blue>AYM:</font> tinkuyaña\n<font color=orange>ENG:</font> to cause to fall
hacer tropezar	<font color=red>CHP:</font> t'ezinz\n<font color=blue>AYM:</font> lanktayaña\n<font color=orange>ENG:</font> to cause to stumble
flor	<font color=red>CHP:</font> t'icja\n<font color=blue>AYM:</font> t'ikha\n<font color=orange>ENG:</font> flower
adorno de lana para animales	<font color=red>CHP:</font> t'icja\n<font color=blue>AYM:</font> t'ikha\n<font color=orange>ENG:</font> woolen adornment for animals
adornar el cordón de mujeres con borla colorada	<font color=red>CHP:</font> t'icjachiz\n<font color=blue>AYM:</font> t'ik'anchaña\n<font color=orange>ENG:</font> to adorn women's belt with a colored tassel
embarazar	<font color=red>CHP:</font> t'icz\n<font color=blue>AYM:</font> usurkiptaña, walq'intayaña\n<font color=orange>ENG:</font> to impregnate (persons)
