a'ạjtaba'	Mata caballo.
vuc	Cachuela, caída de agua.
vụdu' vụdu'	Andar agachado.
vụdu'duij, vụdu'dui'	Andar acogido, agachado.
vụdui'je	Hacer inclinar.
vụdui'yi	Agachar la cabeza.
vụdujduij, vụdujdui'	Estar agachado, doblado, inclinado.
vụdujduj	Agachado.
vuijcu'	Clase de rana de color negro y comestible.
vurum'	Burgo cabeza azul.
vunyi	Daleado.
vútutuj	Yacamí.
väcje'	Arrollar, enrroler.
väctäjtäij	Vista solo la parte arriba de persona, animal, ave, etc.
väch	Espiga, fruta.
vachätyity	Soldado.
vächä', vächä'sis	Gorra.
vä'chäij	Engorrado.
vächäjchäij -i'	Casa, choza, medio techo.
vächäjchäs	Casa de medio techo, refugio.
vächje'	Cosechar, sacar fruta.
vächtaqui	Sacar, cosechar: una fruta, un racimo.
vädächyi	Levantar la punta de la canoa.
vädaqui	Cosechar, arroz, etc.
väij	Chonta.
väi'yi, väi'väi'yi	Andar: cojo, rengo.
väjnaqui -ñe'	Ladrar.
vämedye'	Casamiento, matrimonio.
vämi	Casarse.
vämtute	Casarse (mujer a hombre).
vämtyi'	Marido.
vämtyidyety	Novio, prometido de la mujer.
vänĉhäs	Pozo, hoyo, valle.
väñ'yi'	Tumbar: árbol, planta, etc.
väñ'joij	Caer de por si (árbol).
väñ'yi	Dislocarse, caerse de por si; en negativo: desobediente.
väñädye'	Mentira.
väñäij-i'	Miente.
väñäjyaqui, väñäjyete	Mentir de algo.
väñäjjeyaqui	Mentirle.
väñätuqui	Mentirle a su familiar.
väñätute	Mentir de algo.
väquir'yi	Moverse: algo aflojado, no sólido.
väquis	Misa de plátano.
väquity	Manija, atado, manojo de arroz, etc., mano de tacú.
väräcyi	Ronco.
väräshyi, varashyi	Llorar con grito.
väs	Excremento, estiércol.
väsaquis	Servicio higiénico, baño.
väsdyes	Remedio para diarrea.
väsedyes	Servicio, baño.
väsi	Defecar.
västaqui, västyete	Defecar sobre (tal cosa).
västyiva'ti, väsvaqui	Tener diarrea.
väsh	Fruta.
vạ̈sh	Tatú.
väshedye'	Tiempo de fruta.
väshi'	Frutear.
väshtätäi' -äyeban'	Caminar: peta.
väshtätäi'tacñi	Sábalo, pez.
väshtä'täraj	Clase de tela tejido a mano (traje).
vätäcjeyaqui	Mosquear un palo, hacer escalera.
vätäctacdye'	Palo usado para escalera.
vätäctaqui	Mosquear palo para escalera.
vätidye'	Pelea.
väväij	Clase de árbol (totoi).
väväi'dye'	Víbora coral.
väväjñity -nis	Mentiroso.
väväjti'	Demonio.
vävämejoij -joisi'	Adulterar.
vạ̈väs	Hormiga negra.
vä'yi	Asustar de algo.
yạ'	Crudo.
yabinyi	Asustarse.
yacchuqui	Dejaro abandonar.
yacchuti	Empezar, iniciar, comenzar.
yacchutis	Comienzo, inicio.
yacñi-ni'	Planta que se marchita.
ya'idye'	Pago, compra, sentencia.
ya'ij, -i'	1. Comprar algo. 2. Costo de alguna cosa.
ya'itaqui	Pagar deuda, cuenta.
ya'iyaque	Compró para el mismo.
ya'iyequi	Ir a comprar.
yạyajcai'	Dejar atrás.
yajcamaj	Río yacuma.
yạjcaqui	Dejar cosa de paso.
yạji'	Tamal de maíz.
yạjquiqui	Dejar, abandonar.
yạraquety -ques	Tieso de muerte.
yạri	Duro, tieso, cuando está muerto.
yajsi	Flecha sin plumas.
yajshaqui	Encerrar rio o laguna con hoja de motacú.
yamjoij -joi'	Tener mucha hambre.
yapa'	Sin tener nada.
yapa'naqui	Levantando la mano de enojo.
yapa'tyity	Palabra arcaica (camisa).
ya'pe'naqui	Enojarse con alguien, denigrar.
yaquin	Olvidarse.
yaquintuqui	Se olvidó.
yara'rai'	Aumentar el río.
ya'taj	Palabra antigua para tigre.
yạ'tuqui, yạ'tui'	Comer comida antes de coser.
yạ'si'	Crudo Ej: Tata ujate mumuñi mo'ya' dai' shush ya'si'.
yavyi	Mover, saltar de susto.
yạvituij -tui', yạvitudye'	Mal anuncio.
yaya'	Suegra.
yeja'	Digamos, algunos la usan para dar énfasis.
yejĉoij -ĉoja'	Continuar, progresar, multiplicar, crecer en algo.
yejnamca'cai'	Picar (pescado).
yemaqui	Llevar agarrado de la mano o ayudar a andar algún familiar.
yemen'je'-te	Agorar de brazo.
yenso	Lienzo, tocuyo.
yen'tyi -tyi'	Continuar con el mismo tema, seguir la misma cosa, insistir, persistir.
yéqui	Ir a decir.
yetaqui	Avisar antes de salir.
yéti	Venir a decir o avisar.
yi, yeja'	Decir algo.
yicdye'	Costumbre.
yictaqui, yictacsi	Acostumbrado.
yi'dye, yídye	Decir lo mismo.
yịjyi	Distintos, varias clases.
yin tyeij	Varios, distintas clases.
yinum'yis	Parásito intestinal.
yiri'	Una vez.
yiri'tac	Diez.
yiristum	De una vez.
yiri'tacĉansi	Ofrenda, diezmo.
yirity	Uno, solo.
yiris	Una, sola.
yirity bä'yi	Vive solo.
yirityityij	Uno por uno.
yirisisij	Una por una.
yiri'ya'	Todos juntos.
yita'raqui	Patear, jugar fútbol.
yíya', yi'ya'	Si es que dice.
yoc	Diferente, distinto.
yóĉandye' yóĉandyem'	En el lugar mencionado.
yocdyeij -dyei'	Diferente, distinto.
yocdyejyeja'	Estar distinto.
yocjoij	Que cambia cada vez más.
yoctyi', si'	Otro.
yoctyi'dye	No pariente o familiar.
yocve	Otro lado, lugar, otra manera.
yocvetaque	En otro lado.
yocvejtaqui	Poner otro lado.
yocvevej	Distinto, hacer en muchas maneras distintas.
yocveya'	Manera distinta, errada: doctrina, enseñanza.
yocya'	Otro lugar.
yocya'je'	Mudar, trasladar.
yocyejoij	Extrañar, tener pena.
yocyi, yocyi'	Cambiar, enseñar errado.
yocyoc	Distinto, variado.
yóche'	Estar ahí arriba.
yódyeijdyem', yódyei'dyem', yódyesdyem', yódyetydyem' (alt: yojdyeijdyem', yojdyei'dyem', etc.)	Lo mismo, de lo mismo.
yoj	Así, de esa manera.
yojcaty	¡Mire ese, como está!
yojdye, yojdyem'	En esta manera, como esto.
yojdye bo' o	¿No ves?, Ya ves como es.
yojna	Así, aun.
yojyojdyem'	Cualquier, cada uno, todo.
yojtumdyem'	Todos que lo que son.
yómo'	Tarde, noche.
yómodye'	Año.
yómodyeij	Durar un año o tardar un año.
yómoi'	Saludo: ¡Buenas tardes!, ¡Buenas noches!
yómoi'si'	Primeras horas de la noche.
yómoi', yómoyeja'	Anochecer.
yómoi've, yómo'qui've	Horas de la tarde.
yomojtacdye'	Cine.
yomomo	Colcha que nace encima del agua de una laguna.
yómoi've	El oeste.
yóque'	Aguja.
yoque'queroj	Burgo cabeza amarilla.
yoquij, yoqueja'	Ponerse triste, extrañar a alguien.
yoqui'dye, yoqui'dyem'	Hasta (ubicación), hasta el punto de, hasta donde, mientras que.
yorishi	Cabeza seca.
yósi'dye, yósi'dyem'	Al fin, después de tanto tiempo.
yoshoropaij	Gracias, agradecido.
yóvedyem'	Hacia, a donde, por ahí mismo.
yovi'	Anzuelo, liñada.
yovidyety	Liñada para pescar.
yo'vijvij	Tucán.
yovityi	Pescar con anzuelo.
yóya'	Ahí donde, a donde.
yoyocarej	Yura.
yụ	Yo.
yuj	Pie, huella.
yujches	Sandalia, Zapato.
yujve	Al lado del pie.
yujĉan	Parte baja de los pies.
yujya'	Ir de/a pie.
yum'jeyaqui	Poner un palo junto a otro para subir.
yuñij	Sin comer.
yúshi'	Oso bandera.
yushñuij, yushñuty -ñus	Color azul.
yụ'tacdye'	Ley, compromiso, autorización.
yụ'tactyi'	Soldado, oficial, encargado.
yútaqui	Pisotear, pisar, desgranar arroz.
yụ'taqui, yụ'te, yụ'tyeja	Poner, autorizar, dar encargo.
yu'ti, yu'tiĉa', (deriv: yu'taqui)	Llegar a ser, considerarse, pretender.
yu'tidyes	Envase.
yútyeja'ĉan	Debajo del pie.
yútyeva'caquity, yútyeva'caquis	Él que pisotea (arroz).
yútyeva'te	Estar pisoteando (arroz).
yútyi, yútyi'	Pisar sobre algo.
yäcäj	Duro, tieso, firme, bien tomado.
yäcäj ĉọ́qui	Hacer: sin ánimo, de mala voluntad.
yäcäñi	Madera dura (tajito, cuchi, etc.).
yäjcädye'	Poción, remedio de brujo.
yäjcäj	Duro.
yäcäty tạ́ra'	Maíz duro.
yäjdyä'dyä	Palo maría.
yäjquetaqui	Endurar.
yäjqui	Endurarse.
yäjquity, yäjquis	Paralizado.
yävätidye'	Siete.
yäväjtidye'	Guerra.
yävätij	Dispararse arma.
yäyäm' cati'	Contagiarse (enfermedad, idea).
ä	Ultima letra del alfabeto Chiman.
ä!	Hola.
ä'bäs	Tapado.
ä'bäty	Volcado.
ä'äm'	Ave nocturno, sumurucucu.
äbäbä'	Sapo.
äbij	Volcar.
äbi'vaqui	Enjaular.
äcäij yi	Repugnar, contra decir.
äcäijjeyaqui	Despreciar.
ächje'	Poner doble.
ächjeyaqui	Poner doble encima de otro.
äfäc	Hierva.
äj	Perdón, disculpe.
äjyi	Gritar.
äjdyij	Gritar varias veces, gritando.
äjquedye'	Grito.
äjjetaqui	Gritarle, espantar (hacer huir con gritos).
äjnaqui	Grito permanente de una persona.
äjsäty -säjsäij	Sucio, con ropa sucia, mugriento.
änac	Poner encima de otra.
änac ji'taqui	Colocar encima de otras como ladrillos.
äñäj	1. Cera de miel. 2. giba de toro.
ä'naqui	Amontonar.
äñ'jeyaqui	Acumular, amontonar, apilar, poner (como libros en el estante).
äñ'je'	Tapar olla u otro objeto.
äñ'yis, äpyis	Tapa, de olla, etc.
äñivaqui	Acumular alguna cosa u objeto.
äpjeyaqui	Volcar canoa, olla, etc. de uno mismo.
äpyi	Volcó.
äräjjeyaqui	Protegerlo, mezquinarle de algo (castigo).
äsäjje'	Dejar sucio alguna cosa.
äshen'yi	Ponerse muy triste como para llorar.
äts ätsjeyaqui	Acumular poner uno encima del otro.
ätsjeyaqui	Colocar encima de otro.
ätsi'	Montado.
ätsijtsiij	Montado en el caballo.
ätsijtsis	Palizada.
ätsi'naqui	Montar cada rato, engendrar.
ätsin'jeyaqui	Montarlo.
ätsi'tsiyeva'joij	Andar montado.
ätyäñä	Insecto escarabajo (que mueve heces).
ä'vä	Mate grande.
