Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Se enojó	Persona, animal que presenta una actitud de enojo y de agresividad. <font color=ForestGreen><b>vtr.:</b></font> T-semo
Pez Dorado	Alimento cocido a fuego lento. <font color=ForestGreen><b>zool.:</b></font> Tit-yara
Abizcochado	Alimento cocido al horno. <font color=ForestGreen><b>adj.:</b></font> Tñoro
¡Botémoslo!	Se refiere a la acción de echar o botar a una persona, animal o cosa por alguna circunstancia. <font color=ForestGreen><b>vtr.imper.:</b></font> Vewtsuka
¿Dónde pescaremos?	Pregunta del lugar donde se va pescar. <font color=purple>/</font> También se refiere al lugar donde se va dar de comer. <font color=ForestGreen><b>prep.interrog.:</b></font> Vensi'yore
¡Ahóguemoslo!	Persona que incita a ahogar a otra persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Vkeegia
Estamos enlazando	<font color=ForestGreen><b>vtr.:</b></font> Veesareko
¡Murámosnos!	<font color=ForestGreen><b>vintr.prnl.imper.:</b></font> Vépena
¡No importa si morimos!	<font color=ForestGreen><b>adv.neg.imper.:</b></font> Vepenaríne
¡Chaqueemos!	<font color=ForestGreen><b>vtr.pl.imper.:</b></font> Veutaregia
¡Sembremos!	<font color=ForestGreen><b>vtr.imper.:</b></font> Veuka
Nuestro trabajo	<font color=ForestGreen><b>adj.poses.pl.:</b></font> Vemtone
Nuestra carnaza	<font color=ForestGreen><b>adj.poses.pl.:</b></font> Venriji
Nuestra vara o caña de pescar	<font color=ForestGreen><b>adj.poses.pl.:</b></font> Venrigi
¡Degollémoslo!, ¡Cortémosle el cuello!	 <font color=purple>Ej.</font> Cuando carnean un animal. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vestinka
Oveja, cordero	<font color=ForestGreen><b>zool.:</b></font> 'Vesa
Lo tumbamos	Tumbar a una persona, árbol o cosa por un empujón. <font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vesorijko
¡Champémoslo!	Acción de champar a alguien o algo al agua. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Veutsegia
Batidor/jometoto	Utensilio de la cocina que se usa para batir alimento, bebida. <font color=ForestGreen><b>n.m.:</b></font> Veuriipe
¡Invitémosle!	Dar de comer o dar un regalo a alguien. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Venrigia
Lo terminamos	<font color=ForestGreen><b>vtr.pl.afirm.:</b></font> Vito
¡Terminémoslo!	<font color=ForestGreen><b>vtr.pl.imper.:</b></font> Vita
Lobo silvestre	<font color=ForestGreen><b>zool.:</b></font> Vita
Murciélago	<font color=ForestGreen><b>zool.:</b></font> Vite
Vivos	Que sigamos con vida. <font color=ForestGreen><b>adj.:</b></font> Vitorigia
¡Vámonos!	<font color=ForestGreen><b>vtr.imper.:</b></font> Vyampo
Nuestra juventud	<font color=ForestGreen><b>adj.poses.:</b></font> Vyampeewo
¡Durmamos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vimka
Lo hemos llamado	<font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vich'oo'i
¡Ya lo vimos!	<font color=ForestGreen><b>vtr.imper.:</b></font> Vim'oripo
¡Ayudémoslo!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vimkataka
Los vimos a ustedes	<font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vim'o'e
¡Atrasémoslo!	Persona que retrasa a alguien en una actividad. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vemtoka
Nuestro padrasto	<font color=ForestGreen><b>adj.poses.:</b></font> Viyara'o
Difuntos	Personas fallecidas. <font color=ForestGreen><b>adj.:</b></font> Viyanini
Nuestro padre terrenal / Dios	<font color=ForestGreen><b>adj.poses.:</b></font> Viya
Santo, Dios Padre	<font color=ForestGreen><b>adj.:</b></font> Viyachicha
Está de viaje	<font color=ForestGreen><b>vtr.:</b></font> Vyajeru
¡Traguémoslo!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vjiigia
Estamos carpiendo	<font color=ForestGreen><b>vtr.pl.afirm.:</b></font> Viso'o
Grillo	Insecto pequeño invertebrado. <font color=ForestGreen><b>zool.:</b></font> Vichi
Nos iremos no más	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vyanarine
Nuestro anillo	<font color=ForestGreen><b>adj.poses.:</b></font> Vtig're
Nuestro cuaderno	<font color=ForestGreen><b>adj.poses.:</b></font> Vyajumeru
¡Escribamos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vyajrigia
¡Vamos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Vyana
Nuestro camino	<font color=ForestGreen><b>adj.poses.:</b></font> Vyochereku
Ya nos iremos	<font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vyongienepo
Estábamos enfermo, pero nos fuimos	<font color=ForestGreen><b>vtr.afirm.pl.cond.:</b></font> Vyowrorokwo
Nuestro territorio o espacio territorial	<font color=ForestGreen><b>deter.poses.:</b></font> Vyooperu
Nuestra chapapa	Objeto hecho de madera rustica que sirve para guardar cosa, fruta, etc. <font color=ForestGreen><b>deter.poses.:</b></font> Vyommeru
Nos queda bonito	<font color=ForestGreen><b>adj.:</b></font> Vyuupo'o
Jugamos	<font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vyutsaru
Somos de alta estatura	<font color=ForestGreen><b>adj.pl.:</b></font> Vyuna
Lo guardamos	<font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Vyunako
Granizo	<font color=ForestGreen><b>n.m.:</b></font> 'Veregie
Bandera	<font color=ForestGreen><b>n.f.:</b></font> Wanera
Vaca	<font color=ForestGreen><b>zool.:</b></font> Waka
Banco	Asiento que sirve para sentarse. <font color=ForestGreen><b>n.m.:</b></font> Wanku
No importa que nos cansemos	<font color=ForestGreen><b>adv.:</b></font> Wawtarine
¡Reunámonos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Waamutu
Carne	 Carne de cualquier animal. <font color=ForestGreen><b>n.f.:</b></font> Wákaji
¡Conozcamos!	Acción de conocer un lugar o alguien <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wemoti
Hombre	Acción de conocer un lugar o alguien <font color=ForestGreen><b>adj.:</b></font> Wakachkaka
¡Trabajemos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wakemtone
¡Cansémonos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wawta
Japutamo	Insecto muy pequeño que se sujetan en la piel causando picazón. <font color=ForestGreen><b>zool.:</b></font> Wajeru
Azucaró	Árbol que crece en la pampa, selva y ríos. <font color=ForestGreen><b>bot.:</b></font> Wajéma
Hueso con un poco de carne	<font color=ForestGreen><b>anat.:</b></font> Wákagi
Cara de vaca	Máscara de la danza del torito. <font color=ForestGreen><b>adj.:</b></font> Wakamiro
Huérfano	Persona que queda sin padres. <font color=ForestGreen><b>adj.:</b></font> Wacha
Persona despectiva o lenta	<font color=ForestGreen><b>adj.:</b></font> Wama'i
Pampa	Espacio extenso de palmeras, curichis y bajios. <font color=ForestGreen><b>n.f.:</b></font> Wom'i
No le queda o no le pinta	<font color=ForestGreen><b>adv.:</b></font> Wotoopo'o
Música, charla, discurso desagradable	<font color=ForestGreen><b>n.f.adj.:</b></font> wotoopi
Feo	<font color=ForestGreen><b>adj.:</b></font> wotoonanaji
No es largo Referido a bolsa	<font color=ForestGreen><b>adj.neg.:</b></font> woto'e
No lo ha visto	<font color=ForestGreen><b>adv.neg.:</b></font> wotem'a
No lo quiere dejar, soltar	Referido a un animal. <font color=ForestGreen><b>adv.neg.:</b></font> wotenajigia
Sur	Frío helada en tiempos de invierno. <font color=purple>/</font> Punto cardinal. <font color=ForestGreen><b>adj.n.:</b></font> Wono
Sur con agua	<font color=ForestGreen><b>n.m.:</b></font> Wonogiere
No	Negación. <font color=ForestGreen><b>adv.neg.:</b></font> Wo'i
Boga	Pez de agua dulce. <font color=ForestGreen><b>zool.:</b></font> 'Wogi
¡Hay por dios!	Expresión de rechazo o escándalo por alguna acción que realiza una persona. <font color=ForestGreen><b>interj.:</b></font> Wijcha
Bravo	Expresión de enojo por alguna molestia. <font color=ForestGreen><b>adj.:</b></font> Winaráji
Todavía	<font color=ForestGreen><b>adv.t.:</b></font> Wich'o
¡Ya no!	<font color=ForestGreen><b>adv.interj.:</b></font> Wipo'eto
Tiempo de sur	<font color=ForestGreen><b>n.f.:</b></font> Wonomu'i
Cascabel	Serpiente venenosa. <font color=ForestGreen><b>zool.:</b></font> Wregie
Tábano Insecto muy pequeño	<font color=ForestGreen><b>zool.:</b></font> Wáyosi
Limosna	Ofrenda económica en ritual religioso. <font color=ForestGreen><b>n.f.:</b></font> Wórare
Gallina	Ave de corral. <font color=ForestGreen><b>zool.:</b></font> Wrayu
Huevo	Huevo de aves y de reptiles. <font color=ForestGreen><b>n.m.:</b></font> Wray'a
Ya sos huérfano	<font color=ForestGreen><b>adj.:</b></font> Wachavipo
Bolivia	Nombre del Estado Plurinacional de Bolivia. <font color=ForestGreen><b>n.:</b></font> Worivya
No quiero	<font color=ForestGreen><b>adv.neg.:</b></font> Wonawro'o
Loro	De la familia de los pericos que es de cola corta o chuta. <font color=ForestGreen><b>zool.:</b></font> Woru
Mauri	Ave silvestre de color negro. <font color=ForestGreen><b>zool.:</b></font> Worikusri
Lo hubiéramos encontrado	<font color=ForestGreen><b>vtr.afirm.cond.:</b></font> Waatoo'ini
Asno, burro Animal de carga	<font color=ForestGreen><b>zool.:</b></font> Wariku
Ciudad	<font color=ForestGreen><b>n.:</b></font> 'Wósare
Buey	Animal que sirve para jalar el carretón. <font color=ForestGreen><b>zool.:</b></font> Wiye
¡Nunca más!	<font color=ForestGreen><b>adv.neg.interj.:</b></font> Winepo
¡Compartamos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wakajkoko
Carne molida	<font color=ForestGreen><b>adj.n.f.:</b></font> Wákapa
Carne de res	<font color=ForestGreen><b>n.f.:</b></font> Wakaeche
¡Estudiemos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wakarawo'u
Dar una porción de lo que tiene	Compartir. <font color=ForestGreen><b>vtr.:</b></font> Wakaji
Carne de res o de otro animal	<font color=ForestGreen><b>n.f.:</b></font> Wakaji
Estamos trabajando	<font color=ForestGreen><b>vtr.afirm.ger.pl.:</b></font> Wkemtone
Somos iguales	Igualdad. <font color=ForestGreen><b>n.f.:</b></font> Wkutirichu
¡Tengamos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wakye'e
¡Hamaquemonos!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Wákachu
Lado derecho	<font color=ForestGreen><b>adv.l.:</b></font> Wowre
¡Ven o vení!	<font color=ForestGreen><b>vtr.imper.:</b></font> Yare
Nuestra casa	<font color=ForestGreen><b>adj.poses.:</b></font> Iypeno
Nuestro guía	Guía para llegar a un lugar o método para hacer música. <font color=ForestGreen><b>adj.poses.:</b></font> Iyponogieru
¡Sigámoslo!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Iypona
Por ese lugar vamos	<font color=ForestGreen><b>deter.pron.dem.:</b></font> Iypopuegia
Seguirlo o repetir lo que realiza	<font color=ForestGreen><b>vtr.imper.:</b></font> Iyponora'i
¡Traguémoslo!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Iyjiigia <font color=purple>/</font> vjiigia
Nuestro lunar	<font color=ForestGreen><b>adj.poses.:</b></font> Iypochowo
Hacha	Que sirve para cortar palo <font color=ForestGreen><b>n.f.:</b></font> Iywoti
Ya queremos	<font color=ForestGreen><b>vtr.afirm.:</b></font> Iywoo'oripo
Nuestra Muñeca	Parte del cuerpo humano. <font color=ForestGreen><b>anat.:</b></font> Iywo'u
Manetacu	Manija para moler alimento en el tacú. <font color=ForestGreen><b>n.f.:</b></font> Iywáragi
Charque molido	<font color=ForestGreen><b>adj.:</b></font> Iywapa
Nuestro pago	<font color=ForestGreen><b>adj.poses.:</b></font> Iywacho
¡Compremos!!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Iywachrigia
Nuestro buey	<font color=ForestGreen><b>adj.poses.:</b></font> Iywiyera
Nuestro tobillo	<font color=ForestGreen><b>adj.dem.:</b></font> Iypigi
Nuestra rodilla	<font color=ForestGreen><b>adj.dem.:</b></font> Iypúyusi
Nuestro cachete 	<font color=ForestGreen><b>adj.dem.:</b></font> Iypuku
Nuestro muslo	<font color=ForestGreen><b>adj.dem.:</b></font> Iypa'e
¡Qué pasó!	Problema o suceso inadvertido. <font color=ForestGreen><b>interj.:</b></font> Yátupi
De malas ganas / convaleciente	Persona que se está recuperando de una enfermedad. <font color=ForestGreen><b>adj.:</b></font> Yatpipijina
Yeso	Material de construcción. <font color=ForestGreen><b>n.m.:</b></font> Yesu
Yegua	<font color=ForestGreen><b>zool.:</b></font> Yewa
Surubí	Pez de agua dulce. <font color=ForestGreen><b>zool.:</b></font> Yona
Jochi pintado	Animal que habita en la selva amazónica. <font color=ForestGreen><b>zool.:</b></font> Yopo
Noche	<font color=ForestGreen><b>n.f.:</b></font> Yoti
¡Buenas noches!	Expresión de saludo. <font color=ForestGreen><b>interj.:</b></font> Yotyoopo
Lechuza	Ave nocturna <font color=ForestGreen><b>zool.:</b></font> Yusa
Cántaro	 Recipiente elaborado de barro cocido. <font color=ForestGreen><b>n.f.:</b></font> Yupi
Autoridad	Alcalde. <font color=ForestGreen><b>n.m.:</b></font> Aakare
¿Qué?	<font color=ForestGreen><b>adj.pronom.:</b></font> Taa
¿Quién?	<font color=ForestGreen><b>pron.interrog.:</b></font> Naa
marzo	Tercer mes del año. <font color=ForestGreen><b>n.m.:</b></font> Maaso
Palta	Fruta del árbol del palto. <font color=ForestGreen><b>bot.:</b></font> Paata
Carmen	 Nombre femenino. <font color=ForestGreen><b>n.f.:</b></font> Kaame
Parque	 Espacio recreativo <font color=ForestGreen><b>n.:</b></font> Paake
Bufeo	Delfín de agua dulce. <font color=ForestGreen><b>zool.:</b></font> Aeko
Lo mezquina	<font color=ForestGreen><b>vtr.:</b></font> Taeima
Su macho	<font color=ForestGreen><b>adj.dem.:</b></font> Taema
Detrás	<font color=ForestGreen><b>adv.l.:</b></font> Taegne
vocal compleja	<font color=ForestGreen><b>n.f.:</b></font> Aee
Discoteca	<font color=ForestGreen><b>n.f.:</b></font> Naeemuisrare
Se hundió su cabeza	<font color=ForestGreen><b>vtr.prnl.:</b></font> Taeemusko
Vocal compleja	<font color=ForestGreen><b>n.f.:</b></font> Aei
Se maduró	Afirmación de una persona a otra de que su plátano o guineo ya maduró. <font color=ForestGreen><b>vintr.afirm.:</b></font> Naeikane
Eleuterio	Nombre masculino. <font color=ForestGreen><b>n.m.:</b></font> Eeterio
Enlazar	<font color=ForestGreen><b>vtr.:</b></font> Eesapuegia
viernes	Quinto día de la semana. <font color=ForestGreen><b>n.:</b></font> Vyeenési
Ternero(a)	<font color=ForestGreen><b>zool.:</b></font> Teenera
Anzuelo	<font color=ForestGreen><b>n.m.:</b></font> 'Niive
Liñada	<font color=ForestGreen><b>n.f.:</b></font> 'Niipi
Gallo	<font color=ForestGreen><b>zool.:</b></font> 'Jii'i
Baila	<font color=ForestGreen><b>vtr.afirm.:</b></font> Tiimuiko
¿Dónde?	<font color=ForestGreen><b>adv.interrog.:</b></font> Ooyo
¡Alégrense!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Oosamre
¿De dónde vienes?	<font color=ForestGreen><b>adv.interrog.:</b></font> Oopyos'o
¡Ojalá que sirva!	<font color=ForestGreen><b>interj.:</b></font> Toonaa'ini
¡Andá traele!	<font color=ForestGreen><b>vtr.imper.:</b></font> Jvejninapo
¡Traé!	Orden de que vaya a traer algo. <font color=ForestGreen><b>vtr.imper.:</b></font> Jvejna
¿Lo has traído?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Jvejno
¿Ya lo trajiste?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Jvejnoripo
Después lo trae	<font color=ForestGreen><b>adv.t.:</b></font> Jvejnarine
¡Córtalo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Jvestirigia
Desamarrar hamaca, mosquitero	<font color=ForestGreen><b>vtr.afirm.:</b></font> Jvejchaka
¡Encógelo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Jvechaka
¡Descascáralo!	<font color=ForestGreen><b>vtr.afirm.imper.:</b></font> Jvejchok'a
Violar	Abusar sexualmente de una persona en contra de su voluntad. <font color=ForestGreen><b>vtr.:</b></font> Jooreko
Árbol de ajo	<font color=ForestGreen><b>bot.:</b></font> Choogi
Mediano	<font color=ForestGreen><b>adj.:</b></font> Toonera
Tornillo	<font color=ForestGreen><b>n.m.:</b></font> Tooniyu
¿Ya regresaste?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Pchoopo
Ya regresé	<font color=ForestGreen><b>vtr.afirm.:</b></font> Nchoopo
Espumea	<font color=ForestGreen><b>adj.:</b></font> Tkoososo
Espumeador	<font color=ForestGreen><b>n.m.:</b></font> Tkoososoro'o
Remo	Instrumento de remar. <font color=ForestGreen><b>n.m.:</b></font> Noope
Rana	Anfibio. <font color=ForestGreen><b>zool.:</b></font> Uupe
Acariciar	<font color=ForestGreen><b>vtr.:</b></font> Uututita
Está limpio, bonito	<font color=ForestGreen><b>adj.:</b></font> Tyuuna
División	División de casa o habitación. <font color=ForestGreen><b>n.f.:</b></font> Tayuchororoju'e
División	Compartirse en parte iguales. <font color=ForestGreen><b>n.f.:</b></font> Tasorawko
Estoy bien	<font color=ForestGreen><b>adj.afirm.:</b></font> Nuurichu
Al momento	<font color=ForestGreen><b>adv.t.:</b></font> 'Nuujipo
Cacare	Ave de color negro, come guayaba <font color=ForestGreen><b>zool.:</b></font> Giapo
Fiebre	Aumento de la temperatura del cuerpo por encima de la normal. <font color=ForestGreen><b>n.f.:</b></font> Giewre
Mono	Animal silvestre que huele a ajo. <font color=ForestGreen><b>zool.:</b></font> Gievi
Mara	Tipo de Árbol. <font color=ForestGreen><b>bot.:</b></font> Gíjogi
Turo	Molusco de color negro. <font color=ForestGreen><b>zool.:</b></font> Giyo
Víbora	Reptil venenoso. <font color=ForestGreen><b>zool.:</b></font> Giore
Gusano o lombriz	<font color=ForestGreen><b>zool.:</b></font> Giorepi
Chuño de plátano	<font color=ForestGreen><b>bot.:</b></font> Giajo
Queso	<font color=ForestGreen><b>n.m.:</b></font> Giesu
Jengibre	<font color=ForestGreen><b>bot.:</b></font> Giwre
Trabajo	<font color=ForestGreen><b>n.m.:</b></font> 'Motnaeko
Vasija de tutuma	<font color=ForestGreen><b>n.f.:</b></font> 'Repo
