acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
zcurpancho	<font color=green>ESP:</font> tipo de escarabajo (blanco y negro)\n<font color=blue>AYM:</font> k'anasilla\n<font color=orange>ENG:</font> type of beetle (black and white)
zcuru	<font color=green>ESP:</font> trenza\n<font color=blue>AYM:</font> k'ana\n<font color=orange>ENG:</font> braid
zcurz	<font color=green>ESP:</font> trenzar\n<font color=blue>AYM:</font> k'anaña\n<font color=orange>ENG:</font> to braid
zcutu	<font color=green>ESP:</font> cóccix\n<font color=blue>AYM:</font> k'uk'u, mich'a\n<font color=orange>ENG:</font> coccyx
zcutz	<font color=green>ESP:</font> volver, retornar\n<font color=blue>AYM:</font> kutiña\n<font color=orange>ENG:</font> to return
zcutz	<font color=green>ESP:</font> amarrar patas de camélidos\n<font color=blue>AYM:</font> winkullt'aña\n<font color=orange>ENG:</font> to tie legs of cameloids
zcwajlz	<font color=green>ESP:</font> esparcir paja\n<font color=blue>AYM:</font> willikipaña\n<font color=orange>ENG:</font> to scatter straw
zcwejrz = zquejrz	<font color=green>ESP:</font> cambiar de dirección, soplar de todas las direcciones (viento)\n<font color=blue>AYM:</font> mayjst'aña, taqi tuqut wayri\n<font color=orange>ENG:</font> to change directions, to blow from all directions (wind)
zeekz	<font color=green>ESP:</font> persignar\n<font color=blue>AYM:</font> siqtasiña\n<font color=orange>ENG:</font> to make the sign of the cross
zejjz	<font color=green>ESP:</font> cobrar en especie\n<font color=blue>AYM:</font> mayiña\n<font color=orange>ENG:</font> to charge/collect in kind
zejkz	<font color=green>ESP:</font> calmar (el tiempo)\n<font color=blue>AYM:</font> sayaña\n<font color=orange>ENG:</font> to calm down (weather)
zek'allapi	<font color=green>ESP:</font> membrana\n<font color=blue>AYM:</font> phirami\n<font color=orange>ENG:</font> membrane
zep'a	<font color=green>ESP:</font> raíz\n<font color=blue>AYM:</font> jach'a sapi\n<font color=orange>ENG:</font> root
zerwi	<font color=green>ESP:</font> cadáver\n<font color=blue>AYM:</font> jiwata\n<font color=orange>ENG:</font> corpse, cadaver
zerwiz	<font color=green>ESP:</font> morir y consumirse, cadaverizar\n<font color=blue>AYM:</font> t'uka jiwa muchata\n<font color=orange>ENG:</font> to die and waste away
zerwiz	<font color=green>ESP:</font> mudar las plumas/la piel\n<font color=blue>AYM:</font> qhawstaña\n<font color=orange>ENG:</font> to molt
zezcu	<font color=green>ESP:</font> ayer\n<font color=blue>AYM:</font> masuru\n<font color=orange>ENG:</font> yesterday
zezi	<font color=green>ESP:</font> en la tarde\n<font color=blue>AYM:</font> arama\n<font color=orange>ENG:</font> in the afternoon
zezilla	<font color=green>ESP:</font> en la tardecita\n<font color=blue>AYM:</font> jayp'uxa\n<font color=orange>ENG:</font> in the late afternoon
zeztan	<font color=green>ESP:</font> atardecer\n<font color=blue>AYM:</font> jayp'u\n<font color=orange>ENG:</font> late afternoon, dusk
zic chjañi	<font color=green>ESP:</font> hoja verde secada\n<font color=blue>AYM:</font> laphiwañata\n<font color=orange>ENG:</font> a dry green leaf (like coca)
zicatatz = zicatz	<font color=green>ESP:</font> buscar pareja (personas), entrar en celo (animales)\n<font color=blue>AYM:</font> q'añusi, tuqisiña\n<font color=orange>ENG:</font> to look for a partner (people), to be in heat (animals)
zicz	<font color=green>ESP:</font> secar hojas verdes\n<font color=blue>AYM:</font> wañachiña\n<font color=orange>ENG:</font> to dry green leaves
zicz	<font color=green>ESP:</font> sacar piojos/liendres\n<font color=blue>AYM:</font> lap'a ichuqasiña\n<font color=orange>ENG:</font> to pick out lice/lice eggs
zicha	<font color=green>ESP:</font> ankañoka, raíz parásita de tola que se puede comer\n<font color=blue>AYM:</font> anqhuñuqu\n<font color=orange>ENG:</font> parasitic root of tola which is edible
zijz	<font color=green>ESP:</font> utilizar, gastar\n<font color=blue>AYM:</font> mirq'iña\n<font color=orange>ENG:</font> to utilize, to use
zilla	<font color=green>ESP:</font> silla\n<font color=blue>AYM:</font> silla\n<font color=orange>ENG:</font> chair
zilla jjora	<font color=green>ESP:</font> voz muy fuerte\n<font color=blue>AYM:</font> jach'a aruni\n<font color=orange>ENG:</font> booming voice, loud voice
zima	<font color=green>ESP:</font> almuerzo\n<font color=blue>AYM:</font> manq'a\n<font color=orange>ENG:</font> lunch
zimana	<font color=green>ESP:</font> semana\n<font color=blue>AYM:</font> simana\n<font color=orange>ENG:</font> week
zimintiz	<font color=green>ESP:</font> poner los cimientos\n<font color=blue>AYM:</font> uraqit aptaña\n<font color=orange>ENG:</font> to lay a foundation
zimpa	<font color=green>ESP:</font> tradición/costumbre antigua\n<font color=blue>AYM:</font> sara, kustumpri\n<font color=orange>ENG:</font> ancient tradition/custom
zimpaz	<font color=green>ESP:</font> tratar de mantener la tradición\n<font color=blue>AYM:</font> tirakipini kustumpri phuqhaña\n<font color=orange>ENG:</font> to try to maintain a tradition
zimpazñi	<font color=green>ESP:</font> persona que trata de mantener la tradición\n<font color=blue>AYM:</font> kustumpri luriri\n<font color=orange>ENG:</font> person who tries to maintain a tradition
zims	<font color=green>ESP:</font> almorzar\n<font color=blue>AYM:</font> manq'aña\n<font color=orange>ENG:</font> to have lunch
zinaliz	<font color=green>ESP:</font> señalar, marcar\n<font color=blue>AYM:</font> siñalaña\n<font color=orange>ENG:</font> to brand, to mark
zinc'uz	<font color=green>ESP:</font> enrollar, envolver soga\n<font color=blue>AYM:</font> sinktapiña\n<font color=orange>ENG:</font> to wind up string/rope
zinica	<font color=green>ESP:</font> fangoso\n<font color=blue>AYM:</font> ñiq'iki\n<font color=orange>ENG:</font> muddy, miry
zinica	<font color=green>ESP:</font> río helado\n<font color=blue>AYM:</font> jawira chhullunkatata\n<font color=orange>ENG:</font> frozen river
zinicchi	<font color=green>ESP:</font> enfangado\n<font color=blue>AYM:</font> ñiq'i ñiq'i\n<font color=orange>ENG:</font> to be covered with mud
zinq'uiz	<font color=green>ESP:</font> envolver soga\n<font color=blue>AYM:</font> sinktapiña\n<font color=orange>ENG:</font> to wind up rope
zinta	<font color=green>ESP:</font> cinta\n<font color=blue>AYM:</font> sinta\n<font color=orange>ENG:</font> ribbon, band
zintalla	<font color=green>ESP:</font> uno\n<font color=blue>AYM:</font> maya\n<font color=orange>ENG:</font> one
zinti	<font color=green>ESP:</font> duro\n<font color=blue>AYM:</font> sinti\n<font color=orange>ENG:</font> hard
ziñi	<font color=green>ESP:</font> huevo\n<font color=blue>AYM:</font> k'anwa\n<font color=orange>ENG:</font> egg
zipulla	<font color=green>ESP:</font> cebolla\n<font color=blue>AYM:</font> siwulla\n<font color=orange>ENG:</font> onion
zipz	<font color=green>ESP:</font> bigote\n<font color=blue>AYM:</font> chhunkha\n<font color=orange>ENG:</font> mustache
zirca	<font color=green>ESP:</font> duna de arena\n<font color=blue>AYM:</font> ch'alla\n<font color=orange>ENG:</font> sand dune
zita	<font color=green>ESP:</font> todo el día\n<font color=blue>AYM:</font> chhur intiru\n<font color=orange>ENG:</font> the entire day
ziwatu	<font color=green>ESP:</font> cebada\n<font color=blue>AYM:</font> siwara\n<font color=orange>ENG:</font> barley
ziwi	<font color=green>ESP:</font> época fría\n<font color=blue>AYM:</font> awtipacha\n<font color=orange>ENG:</font> cold season
ziwz	<font color=green>ESP:</font> sombra\n<font color=blue>AYM:</font> ch'iwi\n<font color=orange>ENG:</font> shade
ziwz	<font color=green>ESP:</font> poner rompevientas para atajar arena\n<font color=blue>AYM:</font> ch'iwxataña\n<font color=orange>ENG:</font> to place a windbreak to halt sand
ziz	<font color=green>ESP:</font> saber, aprender\n<font color=blue>AYM:</font> yatiña, yatiqaña\n<font color=orange>ENG:</font> to know, to learn
ziz	<font color=green>ESP:</font> acostumbrarse\n<font color=blue>AYM:</font> yatintasiña\n<font color=orange>ENG:</font> to get/be accustomed to
zjijcz	<font color=green>ESP:</font> traer\n<font color=blue>AYM:</font> apaniña\n<font color=orange>ENG:</font> to bring
zkaaz = zkwaaz = skaaz	<font color=green>ESP:</font> palo para apretar el tejido\n<font color=blue>AYM:</font> tila, sawu lawa\n<font color=orange>ENG:</font> stick to help tighten the weave
zkajtz	<font color=green>ESP:</font> remangar\n<font color=blue>AYM:</font> llintsuña\n<font color=orange>ENG:</font> to roll up (sleeves, pantlegs)
zkala	<font color=green>ESP:</font> chacra\n<font color=blue>AYM:</font> yapu\n<font color=orange>ENG:</font> field
zkalapuna	<font color=green>ESP:</font> tipo de alga\n<font color=blue>AYM:</font> laqhu, yuyu\n<font color=orange>ENG:</font> type of alga
zkalinz	<font color=green>ESP:</font> masticar alimentos para bebes/crías\n<font color=blue>AYM:</font> muxch'iña, lakant manq'ayaña\n<font color=orange>ENG:</font> to chew food for baby/offspring
zkals = zkwalz	<font color=green>ESP:</font> levantar ropa (para pasar un río)\n<font color=blue>AYM:</font> isi aptaña, llintsuña\n<font color=orange>ENG:</font> to lift clothes (to cross a river)
zkara	<font color=green>ESP:</font> izquierdo\n<font color=blue>AYM:</font> kupi\n<font color=orange>ENG:</font> left
zkaranta	<font color=green>ESP:</font> a la izquierda\n<font color=blue>AYM:</font> chiqaru\n<font color=orange>ENG:</font> left, to the left
zkarapalta	<font color=green>ESP:</font> marca de dos cortes en oreja izquierda\n<font color=blue>AYM:</font> kupi ati\n<font color=orange>ENG:</font> two pieces cut out of animal's left ear to mark ownership
zkari = zkwari	<font color=green>ESP:</font> planta acuática comestible\n<font color=blue>AYM:</font> uqhururu\n<font color=orange>ENG:</font> an edible water plant
zkat kojch	<font color=green>ESP:</font> soga de cinco hilos\n<font color=blue>AYM:</font> wiskha\n<font color=orange>ENG:</font> rope of five threads
zkata	<font color=green>ESP:</font> garrapata\n<font color=blue>AYM:</font> jamak'u\n<font color=orange>ENG:</font> tick, mite
zkata	<font color=green>ESP:</font> soga de cinco hilos\n<font color=blue>AYM:</font> wiskha\n<font color=orange>ENG:</font> rope of five threads
zkatz	<font color=green>ESP:</font> doblar, aplastar\n<font color=blue>AYM:</font> sukt'aña\n<font color=orange>ENG:</font> to double, to bend, to crush
zkayta	<font color=green>ESP:</font> Caiti (ave)\n<font color=blue>AYM:</font> qayti\n<font color=orange>ENG:</font> Andean Avocet (bird)
zkaza	<font color=green>ESP:</font> sobras (comida)\n<font color=blue>AYM:</font> puchu\n<font color=orange>ENG:</font> leftovers (food)
zkazarara	<font color=green>ESP:</font> sobras con saliva\n<font color=blue>AYM:</font> manq'arata\n<font color=orange>ENG:</font> leftovers with saliva on them
zke ecz	<font color=green>ESP:</font> asustarse\n<font color=blue>AYM:</font> ancha mulla apjaña\n<font color=orange>ENG:</font> to be scared
zkejkz = zkjekz	<font color=green>ESP:</font> atragantarse, atorarse\n<font color=blue>AYM:</font> q'ultayasiña\n<font color=orange>ENG:</font> to choke
zkejpz	<font color=green>ESP:</font> poner al revés\n<font color=blue>AYM:</font> llinq'suña, llintsuña\n<font color=orange>ENG:</font> to turn inside out
zkekz	<font color=green>ESP:</font> ahorcar, morir por atragantamiento\n<font color=blue>AYM:</font> ñach'ant'aña\n<font color=orange>ENG:</font> to hang, to choke to death
zkira	<font color=green>ESP:</font> sarna (personas)\n<font color=blue>AYM:</font> qarachi\n<font color=orange>ENG:</font> scabies
zkizi	<font color=green>ESP:</font> cuero\n<font color=blue>AYM:</font> lip'ichi\n<font color=orange>ENG:</font> hide, leather
zkjawjkz	<font color=green>ESP:</font> romperse, rajarse\n<font color=blue>AYM:</font> p'akisiña\n<font color=orange>ENG:</font> to crack (by fingernails or toes); to have a hangnail
zkjejpla = zpjejjkla	<font color=green>ESP:</font> cerebro\n<font color=blue>AYM:</font> lixwi\n<font color=orange>ENG:</font> brain
zkjejra = zkjejza	<font color=green>ESP:</font> plato llano\n<font color=blue>AYM:</font> phuqha chuwa\n<font color=orange>ENG:</font> plate
zkjejz	<font color=green>ESP:</font> resbalar\n<font color=blue>AYM:</font> llust'aña\n<font color=orange>ENG:</font> to slip
zkjejza = zkjejra	<font color=green>ESP:</font> plato llano\n<font color=blue>AYM:</font> phuqha chuwa\n<font color=orange>ENG:</font> plate
zkjejzkatz	<font color=green>ESP:</font> hacer resbalar, hacer desviar con engaño\n<font color=blue>AYM:</font> llust'ayaña\n<font color=orange>ENG:</font> to cause to slip, to mislead
zkjekz = zkejkz	<font color=green>ESP:</font> atragantarse, atorarse\n<font color=blue>AYM:</font> q'ultayasiña\n<font color=orange>ENG:</font> to choke
zkoa	<font color=green>ESP:</font> salitre\n<font color=blue>AYM:</font> qullpa\n<font color=orange>ENG:</font> mineral salts
zkoka	<font color=green>ESP:</font> renacuajo\n<font color=blue>AYM:</font> aqhullu\n<font color=orange>ENG:</font> tadpole
zkomz	<font color=green>ESP:</font> apretar\n<font color=blue>AYM:</font> q'apiña\n<font color=orange>ENG:</font> to squeeze
zkomz	<font color=green>ESP:</font> aplastar\n<font color=blue>AYM:</font> p'altjaña, ñitthapiña\n<font color=orange>ENG:</font> to crush
zkomz	<font color=green>ESP:</font> estrangular\n<font color=blue>AYM:</font> ñiqhthaphiña\n<font color=orange>ENG:</font> to strangle
zkoñi	<font color=green>ESP:</font> boleadoras\n<font color=blue>AYM:</font> liwi\n<font color=orange>ENG:</font> bolas
zkora	<font color=green>ESP:</font> serpiente\n<font color=blue>AYM:</font> asiru\n<font color=orange>ENG:</font> snake
zkutu	<font color=green>ESP:</font> ávaro\n<font color=blue>AYM:</font> chacha\n<font color=orange>ENG:</font> greedy
zkuwaranta	<font color=green>ESP:</font> zurdo\n<font color=blue>AYM:</font> ch'iqanchu\n<font color=orange>ENG:</font> left-handed
zkuwaranta	<font color=green>ESP:</font> soga torcida hacia la izquierda\n<font color=blue>AYM:</font> wiskha kupir lurata\n<font color=orange>ENG:</font> rope twisted to the left
zkuwaranta	<font color=green>ESP:</font> por la izquierda, a la izquierda\n<font color=blue>AYM:</font> kupiru\n<font color=orange>ENG:</font> on the left, to the left
zkwaaz = zkaaz = skaaz	<font color=green>ESP:</font> palo para apretar el tejido\n<font color=blue>AYM:</font> tila, sawu lawa\n<font color=orange>ENG:</font> stick to help tighten the weave
zkwalz = zkals	<font color=green>ESP:</font> levantar ropa (para pasar un río)\n<font color=blue>AYM:</font> isi aptaña, llintsuña\n<font color=orange>ENG:</font> to lift clothes (to cross a river)
zkwaranta chiichiiñi	<font color=green>ESP:</font> chismoso\n<font color=blue>AYM:</font> impustira\n<font color=orange>ENG:</font> gossipy
zkwari = zkari	<font color=green>ESP:</font> planta acuática comestible\n<font color=blue>AYM:</font> uqhururu\n<font color=orange>ENG:</font> edible water plant
zkwarinz	<font color=green>ESP:</font> criar\n<font color=blue>AYM:</font> uywaña\n<font color=orange>ENG:</font> to raise
zmali	<font color=green>ESP:</font> fuerte\n<font color=blue>AYM:</font> ancha\n<font color=orange>ENG:</font> strong, hard
zmalitama	<font color=green>ESP:</font> grupo grande\n<font color=blue>AYM:</font> ancha\n<font color=orange>ENG:</font> large group
zmatji	<font color=green>ESP:</font> rótula\n<font color=blue>AYM:</font> muqu\n<font color=orange>ENG:</font> kneecap
zmaz	<font color=green>ESP:</font> codiciar\n<font color=blue>AYM:</font> munaña\n<font color=orange>ENG:</font> to covet
zmeclu	<font color=green>ESP:</font> labio grueso\n<font color=blue>AYM:</font> phatutaka\n<font color=orange>ENG:</font> big lip
zmijrñi	<font color=green>ESP:</font> persona que habla poco de otra lengua\n<font color=blue>AYM:</font> khakha\n<font color=orange>ENG:</font> person who can speak a little of another language
zmijrz	<font color=green>ESP:</font> hablar poco de otra lengua\n<font color=blue>AYM:</font> khakhaña\n<font color=orange>ENG:</font> to speak only a little of another language
zoko	<font color=green>ESP:</font> viento como deidad\n<font color=blue>AYM:</font> sarayiri, wayra tata\n<font color=orange>ENG:</font> wind deity
zok'o	<font color=green>ESP:</font> recto\n<font color=blue>AYM:</font> chiqpa\n<font color=orange>ENG:</font> straight
