anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
jiwtayasiñi	<font color=red>CHP:</font> ururz\n<font color=green>ESP:</font> tener miedo\n<font color=orange>ENG:</font> to be scared
uruyäña	<font color=red>CHP:</font> uruyz\n<font color=green>ESP:</font> festejar\n<font color=orange>ENG:</font> to celebrate
jirk'i	<font color=red>CHP:</font> urz\n<font color=green>ESP:</font> reir antes de caer en pena\n<font color=orange>ENG:</font> to laugh before feeling sorrow
layra kustumpri	<font color=red>CHP:</font> usa\n<font color=green>ESP:</font> costumbre antigua\n<font color=orange>ENG:</font> ancient custom
ñakan unxtiri	<font color=red>CHP:</font> usaya\n<font color=green>ESP:</font> moviéndose lentamente\n<font color=orange>ENG:</font> slow-moving
usuchjasiña	<font color=red>CHP:</font> usutz\n<font color=green>ESP:</font> lastimarse\n<font color=orange>ENG:</font> to hurt/injure oneself
utt'ayaña	<font color=red>CHP:</font> ut'ayz\n<font color=green>ESP:</font> fundar, formar\n<font color=orange>ENG:</font> to found, to form
uchaña	<font color=red>CHP:</font> utchz = uutz\n<font color=green>ESP:</font> poner\n<font color=orange>ENG:</font> to place
lliju lliju, lliphi lliphi	<font color=red>CHP:</font> utjuruncu = itirincu\n<font color=green>ESP:</font> relámpago a la distancia\n<font color=orange>ENG:</font> far-away lightening
aliqa!	<font color=red>CHP:</font> utu\n<font color=green>ESP:</font> ¡deja!\n<font color=orange>ENG:</font> leave it!
khuchi lunku	<font color=red>CHP:</font> utu\n<font color=green>ESP:</font> chancho con manchas\n<font color=orange>ENG:</font> spotted pig
markar mit'ani	<font color=red>CHP:</font> uuriñi\n<font color=green>ESP:</font> uno que hace obras para el pueblo\n<font color=orange>ENG:</font> person who realizes works for the village
tukunchaña	<font color=red>CHP:</font> uuriz\n<font color=green>ESP:</font> mandar a trabajar\n<font color=orange>ENG:</font> to order to work
uchaña	<font color=red>CHP:</font> uutz = utchz\n<font color=green>ESP:</font> poner\n<font color=orange>ENG:</font> to place
chhullunkaña	<font color=red>CHP:</font> uuz\n<font color=green>ESP:</font> helar\n<font color=orange>ENG:</font> to freeze
uwija, uja	<font color=red>CHP:</font> uuza = ooza\n<font color=green>ESP:</font> oveja\n<font color=orange>ENG:</font> sheep
uja	<font color=red>CHP:</font> uuzi\n<font color=green>ESP:</font> oveja hembra\n<font color=orange>ENG:</font> female sheep
uwa	<font color=red>CHP:</font> uwa\n<font color=green>ESP:</font> uva\n<font color=orange>ENG:</font> grape
khurimara	<font color=red>CHP:</font> uwa ewi\n<font color=green>ESP:</font> hace dos años\n<font color=orange>ENG:</font> two years ago
ukjar marana, pä marata	<font color=red>CHP:</font> uwa kajma\n<font color=green>ESP:</font> dentro de dos años\n<font color=orange>ENG:</font> within two years
sumawa	<font color=red>CHP:</font> uwapan\n<font color=green>ESP:</font> ¡que bueno!\n<font color=orange>ENG:</font> this is good!
sumaki	<font color=red>CHP:</font> uwirinti\n<font color=green>ESP:</font> obediente\n<font color=orange>ENG:</font> obedient
chhullunkha	<font color=red>CHP:</font> uyi\n<font color=green>ESP:</font> hielo\n<font color=orange>ENG:</font> ice
uyu	<font color=red>CHP:</font> uyu\n<font color=green>ESP:</font> corral\n<font color=orange>ENG:</font> corral
uywa	<font color=red>CHP:</font> uywa\n<font color=green>ESP:</font> ganado\n<font color=orange>ENG:</font> cattle
inasa	<font color=red>CHP:</font> uz\n<font color=green>ESP:</font> tal vez\n<font color=orange>ENG:</font> maybe
imilla	<font color=red>CHP:</font> uz̈\n<font color=green>ESP:</font> chica, niña\n<font color=orange>ENG:</font> girl
lluqalla	<font color=red>CHP:</font> uz̈a\n<font color=green>ESP:</font> chico, niño\n<font color=orange>ENG:</font> boy
araxa	<font color=red>CHP:</font> uz̈a\n<font color=green>ESP:</font> norte\n<font color=orange>ENG:</font> north
jalsu araxa	<font color=red>CHP:</font> uz̈a tajaqué\n<font color=green>ESP:</font> noroeste\n<font color=orange>ENG:</font> northwest
jalan araxa	<font color=red>CHP:</font> uz̈a tunaqué\n<font color=green>ESP:</font> noreste\n<font color=orange>ENG:</font> northeast
araxaru	<font color=red>CHP:</font> uz̈achuc\n<font color=green>ESP:</font> hacia el norte\n<font color=orange>ENG:</font> to the north
lluqallalla	<font color=red>CHP:</font> uz̈alla\n<font color=green>ESP:</font> chico pequeño, niñito\n<font color=orange>ENG:</font> little boy
imillalla	<font color=red>CHP:</font> uz̈alli\n<font color=green>ESP:</font> chica pequeña, niñita\n<font color=orange>ENG:</font> little girl
anchhichha	<font color=red>CHP:</font> uz̈ca\n<font color=green>ESP:</font> recién (futuro + pasado)\n<font color=orange>ENG:</font> in a minute (future), recently (past)
anataña	<font color=red>CHP:</font> uz̈inz\n<font color=green>ESP:</font> jugar, juguete\n<font color=orange>ENG:</font> to play, toy
q'uraw t'ikhanchani	<font color=red>CHP:</font> uz̈ñi k'orawa\n<font color=green>ESP:</font> honda con adornos para la danza\n<font color=orange>ENG:</font> sling with adornments to dance
anata	<font color=red>CHP:</font> uz̈ñi timpu\n<font color=green>ESP:</font> carnaval\n<font color=orange>ENG:</font> carnival
anat wirsu	<font color=red>CHP:</font> uz̈ñi wirsu\n<font color=green>ESP:</font> canción de carnaval\n<font color=orange>ENG:</font> carnival song
ayttaña	<font color=red>CHP:</font> waaz\n<font color=green>ESP:</font> abrir, extender (brazos, piernas, alas)\n<font color=orange>ENG:</font> to open, to spread (arms, legs, wings)
lunku	<font color=red>CHP:</font> waca\n<font color=green>ESP:</font> chancho de dos colores\n<font color=orange>ENG:</font> two-colored pig
lunku	<font color=red>CHP:</font> waca\n<font color=green>ESP:</font> vaca\n<font color=orange>ENG:</font> cow
wak'a, yapisa	<font color=red>CHP:</font> wac'achaña\n<font color=green>ESP:</font> soga con adornos usado como cinturón\n<font color=orange>ENG:</font> rope with adornments used as belt
ancha, wakita	<font color=red>CHP:</font> wacchi = ancha = taz̈pacha\n<font color=green>ESP:</font> mucho, muy\n<font color=orange>ENG:</font> much, very
wak'a	<font color=red>CHP:</font> wacma\n<font color=green>ESP:</font> deidad representada en pilón de piedras\n<font color=orange>ENG:</font> deity represented in pylon of stones
wakiyaña, wakt'äña	<font color=red>CHP:</font> wact'ayz\n<font color=green>ESP:</font> alistar, preparar\n<font color=orange>ENG:</font> to make ready, to prepare
ukakunkiña	<font color=red>CHP:</font> wact'iz\n<font color=green>ESP:</font> estar listo/preparado\n<font color=orange>ENG:</font> to be ready
katuyasita	<font color=red>CHP:</font> wact'iz\n<font color=green>ESP:</font> ser capturado\n<font color=orange>ENG:</font> to be captured
turuwasu	<font color=red>CHP:</font> waculla\n<font color=green>ESP:</font> vaso ceremonial\n<font color=orange>ENG:</font> ceremonial vase
wakunaña	<font color=red>CHP:</font> wacuniiz\n<font color=green>ESP:</font> vacunar\n<font color=orange>ENG:</font> to vaccinate
qulliri	<font color=red>CHP:</font> wacunñi k'ara\n<font color=green>ESP:</font> persona que da vacunas\n<font color=orange>ENG:</font> one who gives vaccinations
alcansaña	<font color=red>CHP:</font> wacz\n<font color=green>ESP:</font> alcanzar, ser suficiente\n<font color=orange>ENG:</font> to reach, to be sufficient
waja	<font color=red>CHP:</font> waja\n<font color=green>ESP:</font> comida cocida en la tierra\n<font color=orange>ENG:</font> food baked in the ground
anchhichhata	<font color=red>CHP:</font> wajanaca = wajja\n<font color=green>ESP:</font> hace un rato\n<font color=orange>ENG:</font> a little while ago
jakurmukjatatwa	<font color=red>CHP:</font> wajcriz\n<font color=green>ESP:</font> equivocarse en contar\n<font color=orange>ENG:</font> to make a mistake when counting
wajkcha	<font color=red>CHP:</font> wajcha\n<font color=green>ESP:</font> huérfano (animal + persona)\n<font color=orange>ENG:</font> orphan (persons + animals)
wajkcha khuchi uywasiña	<font color=red>CHP:</font> wajchiz = wajjchiz\n<font color=green>ESP:</font> criar chanchos huérfanos\n<font color=orange>ENG:</font> to raise orphan pigs
ma juk'apachjaru, anchhichha	<font color=red>CHP:</font> waji = wajpani\n<font color=green>ESP:</font> dentro de poco\n<font color=orange>ENG:</font> in a little while
ma juk'apachjaru	<font color=red>CHP:</font> wajilla\n<font color=green>ESP:</font> dentro de poco rato\n<font color=orange>ENG:</font> in a very short while
anchhichhata	<font color=red>CHP:</font> wajja = wajanaca\n<font color=green>ESP:</font> hace un rato\n<font color=orange>ENG:</font> a little while ago
wajkcha khuchi uywasiña	<font color=red>CHP:</font> wajjchiz = wajchiz\n<font color=green>ESP:</font> criar chanchos huérfanos\n<font color=orange>ENG:</font> to raise orphan pigs
waxra	<font color=red>CHP:</font> wajjra = wajra\n<font color=green>ESP:</font> cuerno\n<font color=orange>ENG:</font> horn
jilarata	<font color=red>CHP:</font> wajjta\n<font color=green>ESP:</font> sobresaliente\n<font color=orange>ENG:</font> outstanding
willitataña	<font color=red>CHP:</font> wajlliz\n<font color=green>ESP:</font> desparramar\n<font color=orange>ENG:</font> to spread, to spill
chhaqhayaña, anulaña	<font color=red>CHP:</font> wajlliz\n<font color=green>ESP:</font> anular\n<font color=orange>ENG:</font> to annul
ma juk'apachjaru, anchhichha	<font color=red>CHP:</font> wajpani = waji\n<font color=green>ESP:</font> dentro de poco\n<font color=orange>ENG:</font> in a little while
waxra	<font color=red>CHP:</font> wajra = wajjra\n<font color=green>ESP:</font> cuerno\n<font color=orange>ENG:</font> horn
qhatita	<font color=red>CHP:</font> wajta\n<font color=green>ESP:</font> cocido\n<font color=orange>ENG:</font> cooked
marka	<font color=red>CHP:</font> wajtja\n<font color=green>ESP:</font> pueblo\n<font color=orange>ENG:</font> town
sartaña thuqhtaña	<font color=red>CHP:</font> wajts\n<font color=green>ESP:</font> despertarse\n<font color=orange>ENG:</font> to wake up
wayuña, jikhisiña	<font color=red>CHP:</font> wajtz\n<font color=green>ESP:</font> encontrar, encontrarse\n<font color=orange>ENG:</font> to find, to meet
wajaña	<font color=red>CHP:</font> wajz\n<font color=green>ESP:</font> cocer en la tierra\n<font color=orange>ENG:</font> to cook in the ground
ansusiña	<font color=red>CHP:</font> wajz\n<font color=green>ESP:</font> bajarse la ropa\n<font color=orange>ENG:</font> to take down clothes
riwajt'aña	<font color=red>CHP:</font> wajz\n<font color=green>ESP:</font> rebajar precio\n<font color=orange>ENG:</font> to lower the price
jayramatu, usla	<font color=red>CHP:</font> wak'a\n<font color=green>ESP:</font> ocioso\n<font color=orange>ENG:</font> idle
layra, warm, suti	<font color=red>CHP:</font> wakalla\n<font color=green>ESP:</font> mujer (nombre antiguo)\n<font color=orange>ENG:</font> woman (ancient name)
junt'u amayuña	<font color=red>CHP:</font> wakjaraz\n<font color=green>ESP:</font> tener mucho calor en la cama\n<font color=orange>ENG:</font> to feel very warm in bed
wala	<font color=red>CHP:</font> wala\n<font color=green>ESP:</font> bala\n<font color=orange>ENG:</font> bullet
kamisaki, kamisaraki	<font color=red>CHP:</font> walakas\n<font color=green>ESP:</font> ¿cómo está?\n<font color=orange>ENG:</font> how do you do?
walti	<font color=red>CHP:</font> walde\n<font color=green>ESP:</font> balde\n<font color=orange>ENG:</font> pail
wali, suma	<font color=red>CHP:</font> wali\n<font color=green>ESP:</font> bueno\n<font color=orange>ENG:</font> good
punta, walipunta	<font color=red>CHP:</font> walipunta = punta\n<font color=green>ESP:</font> animal más grande, animal líder\n<font color=orange>ENG:</font> biggest animal, animal leader
p'iqini, ch'amani, wali ch'ikita	<font color=red>CHP:</font> walja\n<font color=green>ESP:</font> el/la más inteligente (personas)/fuerte (animales)\n<font color=orange>ENG:</font> the most intelligent (persons)/the strongest (animals)
walsa	<font color=red>CHP:</font> walsa\n<font color=green>ESP:</font> balsa, barco\n<font color=orange>ENG:</font> raft, boat
walt'ayaña, atipaña	<font color=red>CHP:</font> walt'ayz\n<font color=green>ESP:</font> vencer\n<font color=orange>ENG:</font> to defeat
jiphilla	<font color=red>CHP:</font> walu\n<font color=green>ESP:</font> tripa\n<font color=orange>ENG:</font> intestine
puraka usu	<font color=red>CHP:</font> walu aks\n<font color=green>ESP:</font> dolor de estómago\n<font color=orange>ENG:</font> stomach ache
wallaqiña	<font color=red>CHP:</font> wallakz\n<font color=green>ESP:</font> hervir\n<font color=orange>ENG:</font> to boil
wallata	<font color=red>CHP:</font> wallata\n<font color=green>ESP:</font> combinación de dos colores de llama (blanco y negro)\n<font color=orange>ENG:</font> combination of two colors on llama (white and black)
wallpa	<font color=red>CHP:</font> wallpa\n<font color=green>ESP:</font> gallina\n<font color=orange>ENG:</font> hen, chicken
wanaku	<font color=red>CHP:</font> wanacu\n<font color=green>ESP:</font> guanaco\n<font color=orange>ENG:</font> type of wild llama
ñanqhachir jaqi	<font color=red>CHP:</font> wanani\n<font color=green>ESP:</font> persona que sigue haciendo mal\n<font color=orange>ENG:</font> person who keeps doing wrong even when authorities etc. tell him he can't or must not and he pays fine after fine for his evil.
arnaqirin purita	<font color=red>CHP:</font> wanca\n<font color=green>ESP:</font> tocado por el relámpago\n<font color=orange>ENG:</font> struck by lightning
wankalli	<font color=red>CHP:</font> wancalli\n<font color=green>ESP:</font> combinación de dos colores de llama (blanco y café/negro)\n<font color=orange>ENG:</font> combination of two colors on llama (white and brown/black)
misk'ichiri	<font color=red>CHP:</font> wancara\n<font color=green>ESP:</font> panal de abejas\n<font color=orange>ENG:</font> honeycomb
k'ama	<font color=red>CHP:</font> wanki\n<font color=green>ESP:</font> muela\n<font color=orange>ENG:</font> molar
wantira	<font color=red>CHP:</font> wantira\n<font color=green>ESP:</font> bandera\n<font color=orange>ENG:</font> flag
wanthi	<font color=red>CHP:</font> wantji\n<font color=green>ESP:</font> enfermedad venérea\n<font color=orange>ENG:</font> venereal disease
wañsuta	<font color=red>CHP:</font> wañaska\n<font color=green>ESP:</font> persona/animal que ya no produce leche\n<font color=orange>ENG:</font> person/animal that no longer produces milk
phira	<font color=red>CHP:</font> wañu\n<font color=green>ESP:</font> disco de la rueca\n<font color=orange>ENG:</font> distaff disk, platform of spinning stick
qalltaña	<font color=red>CHP:</font> waquintiz\n<font color=green>ESP:</font> empezar\n<font color=orange>ENG:</font> to begin
wakisiw	<font color=red>CHP:</font> waquiziz\n<font color=green>ESP:</font> predisponerse\n<font color=orange>ENG:</font> to predispose, to be ready to
ñiq'i qhatintaña	<font color=red>CHP:</font> wara\n<font color=green>ESP:</font> mezcla de paja y barro para techo\n<font color=orange>ENG:</font> mix of straw and mud for roof
wara	<font color=red>CHP:</font> wara\n<font color=green>ESP:</font> vara del alcalde\n<font color=orange>ENG:</font> mayor's staff
wara	<font color=red>CHP:</font> wara\n<font color=green>ESP:</font> medida de la punta del dedo hasta el cuello\n<font color=orange>ENG:</font> measurement from fingertips to the neck
waraqaña, apaqaña	<font color=red>CHP:</font> waracz = warakiz\n<font color=green>ESP:</font> copiar (en escribir)\n<font color=orange>ENG:</font> to copy (in writing)
waraja	<font color=red>CHP:</font> waraja\n<font color=green>ESP:</font> baraja\n<font color=orange>ENG:</font> deck of cards
waraqaña, apaqaña	<font color=red>CHP:</font> warakiz = waracz\n<font color=green>ESP:</font> copiar (en escribir)\n<font color=orange>ENG:</font> to copy (in writing)
waratu	<font color=red>CHP:</font> waratilla\n<font color=green>ESP:</font> baratillo\n<font color=orange>ENG:</font> bargain sale
waratiru	<font color=red>CHP:</font> waratiru\n<font color=green>ESP:</font> uno que vende barato\n<font color=orange>ENG:</font> one who sells things cheaply
wara wara	<font color=red>CHP:</font> warawara\n<font color=green>ESP:</font> estrella\n<font color=orange>ENG:</font> star
t'axta	<font color=red>CHP:</font> warawarz\n<font color=green>ESP:</font> preparar mezcla de paja y barro\n<font color=orange>ENG:</font> to make mix of mud and straw
takiñ wakichayaña	<font color=red>CHP:</font> warawarz\n<font color=green>ESP:</font> preparar para trillar\n<font color=orange>ENG:</font> .to prepare for threshing
